patron_id,patron_type,age_range,home_library,total_checkouts
P0000,Adult,10 to 19 years,Merced,1
P0000,Adult,35 to 44 years,Marina,1
P0000,Adult,55 to 59 years,Presidio,1
P0000,Adult,55 to 59 years,Richmond,1
P0000,Digital Access Card,10 to 19 years,Mission Bay,1
P0000,Digital Access Card,75 years and over,Main,1
P0000,Senior,60 to 64 years,Portola,1
P0000,Teacher Card,45 to 54 years,Chinatown,1
P0000,Teacher Card,55 to 59 years,Bookmobile,1
P0000,Teen,10 to 19 years,North Beach,1
P0000,Visitor,25 to 34 years,Visitacion Valley,1
P0000,Visitor,45 to 54 years,Presidio,1
P0000,Welcome,25 to 34 years,Eureka Valley,1
P0000,Welcome,60 to 64 years,Eureka Valley,1
P0000,Welcome,65 to 74 years,Potrero,1
P0001,Adult,0 to 9 years,Anza,1
P0001,Adult,10 to 19 years,Sunset,1
P0001,Adult,20 to 24 years,Park,1
P0001,Adult,25 to 34 years,North Beach,1
P0001,Digital Access Card,60 to 64 years,Eureka Valley,1
P0001,Digital Access Card,Null,Bernal Heights,1
P0001,Retired Staff,60 to 64 years,Main,1
P0001,Retired Staff,65 to 74 years,Eureka Valley,1
P0001,Senior,Null,Bernal Heights,1
P0001,Senior,Null,Golden Gate Valley,1
P0001,Teacher Card,65 to 74 years,Parkside,1
P0001,Welcome,20 to 24 years,Marina,1
P0001,Welcome,45 to 54 years,Park,1
P0001,Welcome,45 to 54 years,Sunset,1
P0001,Welcome,55 to 59 years,Marina,1
P0002,Adult,35 to 44 years,Bayview,1
P0002,Adult,55 to 59 years,Ocean View,1
P0002,Adult,75 years and over,Bernal Heights,1
P0002,At User Juvenile,10 to 19 years,Main,1
P0002,Digital Access Card,20 to 24 years,Chinatown,1
P0002,Teacher Card,55 to 59 years,Bayview,1
P0002,Teacher Card,65 to 74 years,West Portal,1
P0002,Visitor,35 to 44 years,Mission,1
P0002,Visitor,65 to 74 years,Richmond,1
P0002,Welcome,20 to 24 years,Western Addition,1
P0002,Welcome,25 to 34 years,Western Addition,1
P0002,Welcome,60 to 64 years,Mission Bay,1
P0002,Welcome,60 to 64 years,Presidio,1
P0002,Welcome,65 to 74 years,Parkside,1
P0002,Welcome,Null,Merced,1
P0003,Adult,0 to 9 years,Glen Park,1
P0003,Adult,0 to 9 years,Ortega,1
P0003,Adult,25 to 34 years,Western Addition,1
P0003,Adult,65 to 74 years,Golden Gate Valley,1
P0003,Adult,75 years and over,West Portal,1
P0003,At User Adult,75 years and over,Chinatown,1
P0003,Business,Null,Main,1
P0003,Juvenile,35 to 44 years,Chinatown,1
P0003,Senior,45 to 54 years,Merced,1
P0003,Teacher Card,60 to 64 years,Richmond,1
P0003,Teen,20 to 24 years,Richmond,1
P0003,Visitor,55 to 59 years,Presidio,1
P0003,Welcome,10 to 19 years,Ortega,1
P0003,Welcome,65 to 74 years,Richmond,1
P0003,Welcome,75 years and over,Golden Gate Valley,1
P0004,Adult,0 to 9 years,Ortega,1
P0004,Adult,35 to 44 years,Ortega,1
P0004,Adult,45 to 54 years,Western Addition,1
P0004,Adult,65 to 74 years,Noe Valley,1
P0004,Adult,Null,Noe Valley,1
P0004,Juvenile,0 to 9 years,Glen Park,1
P0004,Retired Staff,65 to 74 years,Bayview,1
P0004,Retired Staff,75 years and over,Western Addition,1
P0004,Retired Staff,Null,Mission,1
P0004,Retired Staff,Null,Parkside,1
P0004,Visitor,65 to 74 years,Western Addition,1
P0004,Welcome,35 to 44 years,Anza,1
P0004,Welcome,35 to 44 years,North Beach,1
P0004,Welcome,45 to 54 years,Main,1
P0004,Welcome,45 to 54 years,Ocean View,1
P0005,Digital Access Card,10 to 19 years,Bernal Heights,1
P0005,Digital Access Card,10 to 19 years,Mission,1
P0005,Digital Access Card,25 to 34 years,Noe Valley,1
P0005,Juvenile,0 to 9 years,Bookmobile,1
P0005,Juvenile,0 to 9 years,Ocean View,2
P0005,Juvenile,10 to 19 years,Ocean View,1
P0005,Senior,60 to 64 years,Bookmobile,1
P0005,Senior,75 years and over,Ingleside,1
P0005,Teacher Card,20 to 24 years,Ortega,2
P0005,Visitor,35 to 44 years,Marina,1
P0005,Welcome,45 to 54 years,Eureka Valley,1
P0005,Welcome,45 to 54 years,Western Addition,1
P0005,Welcome,Null,Merced,1
P0006,Adult,55 to 59 years,Sunset,1
P0006,Adult,60 to 64 years,Park,1
P0006,Adult,75 years and over,Sunset,1
P0006,Digital Access Card,45 to 54 years,Glen Park,1
P0006,Digital Access Card,55 to 59 years,Bayview,1
P0006,Library By Mail,25 to 34 years,Main,1
P0006,Retired Staff,65 to 74 years,Glen Park,1
P0006,Senior,75 years and over,North Beach,1
P0006,Senior,Null,Park,1
P0006,Teacher Card,45 to 54 years,Sunset,1
P0006,Teacher Card,65 to 74 years,Western Addition,1
P0006,Welcome,10 to 19 years,Potrero,1
P0006,Welcome,20 to 24 years,Ortega,1
P0006,Welcome,25 to 34 years,Western Addition,1
